time,pos_actual,u_in,p_a_actual,p_b_actual,p_p_actual,ps-pos:1,ps-QA:1,ps-QB:1,ps-dist:1,ps-force:1,ps-pA:1,ps-pB:1,ps-pP:1,ps-uout:1,ps-vel:1
0,0.023869659,0.220234382,5419955.198,2804235.497,14146570.57,0.02,0,0,0.17,23436.2812,12000000,100000,14000000,0,0
3.15544E-30,0.023869659,0.220234382,5419955.198,2804235.497,14146570.57,0.02,0,0,0.17,23436.2812,12000000,100000,14000000,4.07015E-27,1.89226E-28
7.55897E-18,0.023869659,0.220234382,5419955.198,2804235.497,14146570.57,0.02,3.54373E-20,-7.92401E-21,0.17,23436.2812,12000000,100000,14000000,9.75016E-15,4.53296E-16
7.55897E-18,0.023869659,0.220234382,5419955.198,2804235.497,14146570.57,0.02,3.54373E-20,-7.92401E-21,0.17,23436.2812,12000000,100000,14000000,9.75016E-15,4.53296E-16
1.71612E-08,0.023869659,0.220234382,5419955.19,2804235.485,14146570.56,0.02,8.04534E-11,-1.79899E-11,0.17,23436.27878,12000000,100000,14000003.23,2.21358E-05,1.02912E-06
5.14835E-08,0.023869659,0.220234382,5419955.172,2804235.462,14146570.54,0.02,2.4136E-10,-5.39696E-11,0.17,23436.27396,12000000,100000.0002,14000009.68,6.64073E-05,3.08736E-06
2.23095E-07,0.023869659,0.220234382,5419955.085,2804235.348,14146570.44,0.02,1.04588E-09,-2.33863E-10,0.17,23436.24981,11999999.98,100000.0027,14000041.94,0.000287759,1.33785E-05
1.04089E-06,0.023869658,0.220234382,5419954.67,2804234.804,14146569.93,0.02,4.87943E-09,-1.09102E-09,0.17,23436.13416,11999999.66,100000.0594,14000195.67,0.001342456,6.24195E-05
2.22357E-06,0.023869658,0.220234382,5419954.069,2804234.016,14146569.2,0.02,1.04225E-08,-2.3303E-09,0.17,23435.96528,11999998.43,100000.2709,14000417.96,0.002867335,0.000133339
3.85783E-06,0.023869657,0.220234382,5419953.239,2804232.928,14146568.2,0.02,1.80804E-08,-4.04217E-09,0.17,23435.72875,11999995.28,100000.8153,14000725.07,0.004973706,0.000231332
5.49209E-06,0.023869656,0.220234382,5419952.409,2804231.84,14146567.19,0.020000001,2.57362E-08,-5.75335E-09,0.170000001,23435.48855,11999990.44,100001.6524,14001032.1,0.007079197,0.000329316
7.6884E-06,0.023869655,0.220234382,5419951.294,2804230.377,14146565.84,0.020000002,3.6022E-08,-8.05194E-09,0.170000002,23435.15996,11999981.26,100003.2381,14001444.61,0.009907417,0.000460983
9.88471E-06,0.023869654,0.220234382,5419950.178,2804228.915,14146564.48,0.020000003,4.63041E-08,-1.03493E-08,0.170000003,23434.82477,11999969.03,100005.3521,14001856.99,0.012734047,0.000592626
1.25519E-05,0.023869653,0.220234382,5419948.824,2804227.139,14146562.84,0.020000005,5.87857E-08,-1.31375E-08,0.170000005,23434.40884,11999950.06,100008.6296,14002357.6,0.016164502,0.000752451
1.5219E-05,0.023869652,0.220234382,5419947.469,2804225.363,14146561.2,0.020000007,7.12621E-08,-1.5924E-08,0.170000007,23433.98321,11999926.59,100012.6859,14002858.02,0.019592616,0.000912226
1.78861E-05,0.023869651,0.220234382,5419946.115,2804223.588,14146559.55,0.02000001,8.37333E-08,-1.87088E-08,0.17000001,23433.54789,11999898.61,100017.5207,14003358.24,0.02301839,0.001071944
2.10947E-05,0.023869649,0.220234382,5419944.486,2804221.451,14146557.58,0.020000013,9.87292E-08,-2.20566E-08,0.170000013,23433.01141,11999858.99,100024.3682,14003959.74,0.027136434,0.001263994
2.43032E-05,0.023869648,0.220234382,5419942.856,2804219.315,14146555.6,0.020000018,1.13718E-07,-2.5402E-08,0.170000018,23432.46098,11999812.85,100032.3415,14004560.96,0.031251095,0.001455937
2.75117E-05,0.023869646,0.220234382,5419941.227,2804217.179,14146553.62,0.020000023,1.28699E-07,-2.87451E-08,0.170000023,23431.89664,11999760.21,100041.44,14005161.91,0.035362375,0.00164776
3.07202E-05,0.023869645,0.220234382,5419939.597,2804215.042,14146551.65,0.020000028,1.43673E-07,-3.2086E-08,0.170000028,23431.31843,11999701.06,100051.663,14005762.57,0.039470277,0.001839453
3.46654E-05,0.023869643,0.220234382,5419937.594,2804212.416,14146549.22,0.020000036,1.62075E-07,-3.61908E-08,0.170000036,23430.5885,11999619.42,100065.7735,14006500.76,0.044516689,0.002074964
3.86106E-05,0.023869641,0.220234382,5419935.59,2804209.789,14146546.79,0.020000045,1.80467E-07,-4.02925E-08,0.170000045,23429.8377,11999527.96,100081.5817,14007238.52,0.049557999,0.002310247
4.25558E-05,0.02386964,0.220234382,5419933.587,2804207.162,14146544.36,0.020000054,1.98848E-07,-4.4391E-08,0.170000054,23429.06609,11999426.69,100099.086,14007975.87,0.05459421,0.002545287
